# Pose Estimator: RANSAC | Early Exit: ON
# Sample_ID	Success	RTE(m)	RRE(deg)	Num_Inliers	Num_Mutual_Inliers	Num_Inlier_Ind	Scales_Used	Data_time(s)	Model_time(s)	Desc_time(s)	Pose_time(s)	PoseEst_time(s)
0	1	0.012919	0.907844	159	320	119	1	0.107152	0.265328	0.129249	0.002257	0.000874
1	0	0.422634	7.905644	72	332	29	1	0.113656	0.276203	0.124831	0.002473	0.000627
2	1	0.040508	0.620551	148	348	118	1	0.150149	0.276820	0.124539	0.002575	0.000775
3	1	0.107614	3.972960	107	314	80	1	0.130920	0.268197	0.126464	0.002210	0.000686
4	1	0.106137	4.550618	79	339	53	1	0.120111	0.292433	0.131183	0.002499	0.000935
5	1	0.021080	1.522643	159	350	127	1	0.137281	0.311466	0.137612	0.002585	0.000889
6	1	0.012661	2.033939	183	355	129	1	0.124187	0.302141	0.143501	0.002616	0.001025
7	1	0.012652	0.927462	78	331	45	1	0.106434	0.265450	0.125981	0.002452	0.000818
8	1	0.153905	3.501404	62	241	33	1	0.093978	0.251579	0.119470	0.001762	0.000520
9	1	0.178218	4.813854	121	275	73	1	0.096530	0.255675	0.120435	0.001986	0.000768
10	1	0.176020	6.343966	132	237	84	1	0.099375	0.254525	0.122154	0.001745	0.000755
11	0	0.349047	13.295221	79	187	36	1	0.111918	0.293439	0.138498	0.001364	0.000541
12	1	0.009742	0.000001	60	206	25	1	0.100684	0.265123	0.125995	0.001598	0.000485
13	1	0.067605	2.676349	105	348	68	1	0.121146	0.315254	0.134039	0.002574	0.001213
14	1	0.049796	2.300697	192	378	161	1	0.124852	0.347797	0.146465	0.003016	0.000945
15	1	0.040737	0.000001	135	290	104	1	0.110441	0.286084	0.134508	0.002091	0.000813
16	1	0.093084	2.510454	143	330	103	1	0.123772	0.294349	0.133672	0.002762	0.000997
17	1	0.144656	3.356605	109	319	80	1	0.109794	0.268919	0.127678	0.002280	0.001191
18	1	0.174969	3.640025	106	287	81	1	0.100686	0.249315	0.121017	0.002064	0.000788
19	1	0.108509	2.469579	104	280	77	1	0.093631	0.242647	0.116074	0.002020	0.000749
