# Pose Estimator: RANSAC | Early Exit: ON
# Sample_ID	Success	RTE(m)	RRE(deg)	Num_Inliers	Num_Mutual_Inliers	Num_Inlier_Ind	Scales_Used	Data_time(s)	Model_time(s)	Desc_time(s)	Pose_time(s)	PoseEst_time(s)
0	1	0.016417	0.391671	490	540	428	1	0.131598	1.153216	0.673854	0.368085	0.001493
1	1	0.081199	2.170244	223	389	146	1	0.123910	0.255352	0.122826	0.004002	0.000968
2	1	0.053608	1.443471	234	386	185	1	0.118676	0.246418	0.122921	0.004088	0.001019
3	1	0.059553	1.558716	308	419	247	1	0.108635	0.272681	0.126187	0.003996	0.000991
4	1	0.009443	0.312787	274	371	233	1	0.109781	0.279835	0.130167	0.004026	0.000988
5	1	0.032095	0.000001	248	346	217	1	0.110177	0.265380	0.129698	0.003958	0.000858
6	1	0.028664	0.413068	274	388	228	1	0.119351	0.258995	0.128787	0.004391	0.000908
7	1	0.040148	1.092174	353	458	282	1	0.119940	0.305614	0.140851	0.004605	0.001065
8	1	0.039199	1.236064	395	482	326	1	0.124576	0.267406	0.130355	0.004465	0.001143
9	1	0.031070	1.136083	272	391	221	1	0.117513	0.263029	0.124813	0.003996	0.000939
10	1	0.025679	1.406113	220	352	144	1	0.098581	0.266268	0.123390	0.004665	0.001027
11	1	0.027929	1.669295	189	338	180	1	0.091223	0.256958	0.122741	0.004074	0.000875
12	1	0.021539	0.000001	255	395	207	1	0.128105	0.316839	0.145801	0.004550	0.000976
13	1	0.036021	0.000001	171	370	103	1	0.126109	0.324216	0.139552	0.004216	0.001010
14	1	0.132423	2.858691	161	365	63	1	0.140538	0.333921	0.140702	0.004040	0.001008
15	1	0.138275	3.083499	176	366	103	1	0.106137	0.230049	0.116762	0.004164	0.001720
16	1	0.092823	2.039129	137	307	71	1	0.110454	0.273862	0.127464	0.004057	0.000727
17	1	0.184862	5.802721	130	287	80	1	0.103513	0.251644	0.123545	0.004115	0.001733
18	1	0.155961	5.688236	116	220	63	1	0.102390	0.263426	0.125023	0.004075	0.000592
19	1	0.078710	2.670638	169	375	139	1	0.149256	0.353154	0.151069	0.004268	0.001083
20	1	0.063280	2.003107	130	294	100	1	0.115819	0.278027	0.135320	0.003975	0.000718
21	1	0.056548	2.068857	267	407	207	1	0.129634	0.354619	0.149181	0.003997	0.001032
22	1	0.104955	2.754064	132	330	91	1	0.123491	0.293126	0.138544	0.004358	0.003373
23	1	0.031228	1.159272	403	499	324	1	0.113789	0.261321	0.124675	0.004447	0.001224
24	1	0.022094	1.110651	242	379	169	1	0.140924	0.285029	0.132277	0.004328	0.001018
25	1	0.068388	2.103568	229	359	185	1	0.113353	0.273385	0.126435	0.003957	0.000865
26	1	0.038255	1.246783	185	339	132	1	0.113406	0.283164	0.132924	0.005008	0.000769
27	1	0.049356	1.400535	187	325	138	1	0.124450	0.279802	0.130328	0.004173	0.000911
28	1	0.038334	1.372591	260	389	205	1	0.116444	0.282910	0.128733	0.002870	0.000937
29	1	0.012143	0.311533	342	438	292	1	0.106941	0.279257	0.129412	0.004755	0.001096
30	1	0.023619	0.793276	263	381	192	1	0.124463	0.272519	0.123461	0.003978	0.000974
31	1	0.014900	1.658946	218	340	155	1	0.109778	0.263673	0.120151	0.003941	0.000834
32	1	0.035678	0.000001	133	391	68	1	0.124464	0.325702	0.140768	0.002969	0.000933
33	1	0.075895	1.525981	164	362	53	1	0.143157	0.342589	0.141735	0.004193	0.000897
34	1	0.127129	3.291464	152	359	84	1	0.104002	0.227788	0.113740	0.002732	0.000804
35	1	0.072685	2.144480	189	368	92	1	0.123288	0.273446	0.125843	0.004093	0.001472
36	1	0.114807	3.433192	118	274	65	1	0.104753	0.261588	0.119243	0.004010	0.000700
37	1	0.106923	4.349381	121	225	57	1	0.120772	0.268667	0.123512	0.004005	0.000667
38	1	0.071301	2.430111	218	356	166	1	0.103601	0.213421	0.109442	0.004232	0.000899
39	1	0.104646	2.792040	134	326	95	1	0.123649	0.290241	0.136021	0.004701	0.000926
40	1	0.012409	1.195504	429	486	372	1	0.124038	0.256974	0.124500	0.004151	0.001009
41	1	0.022623	1.540531	186	383	118	1	0.110260	0.258208	0.121024	0.004193	0.000806
42	1	0.024664	1.569226	337	437	265	1	0.105754	0.256524	0.121017	0.004760	0.001095
43	1	0.021974	0.588839	371	445	313	1	0.112159	0.250793	0.116107	0.004133	0.001080
44	1	0.038173	0.545364	252	369	202	1	0.095747	0.246063	0.115961	0.004058	0.000874
45	1	0.199944	4.406912	61	357	24	1	0.141430	0.328825	0.140602	0.004610	0.000729
46	1	0.156927	3.763172	216	370	121	1	0.164957	0.337241	0.138669	0.002720	0.000977
47	1	0.053217	1.886578	245	370	151	1	0.108374	0.219781	0.114357	0.002680	0.000952
48	1	0.030749	0.855466	276	379	191	1	0.103697	0.244904	0.117877	0.002754	0.000839
49	1	0.051924	0.000001	153	301	98	1	0.093751	0.237815	0.113458	0.004206	0.000707
50	1	0.061605	2.611495	157	268	104	1	0.105752	0.240433	0.114624	0.004740	0.000695
51	1	0.038592	1.120125	295	372	252	1	0.111225	0.214697	0.110643	0.003978	0.001000
52	1	0.043041	2.173669	308	390	275	1	0.149716	0.290111	0.134869	0.004365	0.000844
53	1	0.041939	2.337159	333	428	313	1	0.110089	0.254484	0.119795	0.004047	0.001152
54	1	0.013222	0.673185	367	479	309	1	0.113122	0.260499	0.126770	0.004243	0.001216
55	1	0.032156	1.014521	183	364	141	1	0.134080	0.272547	0.130208	0.004011	0.000866
56	1	0.026899	0.443232	240	398	185	1	0.118520	0.283014	0.130266	0.004146	0.001126
57	1	0.013867	1.142610	323	458	246	1	0.112171	0.249323	0.121122	0.003366	0.000998
58	1	0.013576	0.000001	523	572	408	1	0.110341	0.251330	0.122310	0.004793	0.001590
59	1	0.032976	0.340349	481	515	398	1	0.098538	0.240905	0.115525	0.004134	0.001074
60	1	0.061599	1.769899	356	421	257	1	0.098283	0.235645	0.113406	0.004618	0.000980
61	1	0.034007	0.708864	110	346	48	1	0.134526	0.318712	0.137994	0.002616	0.000767
62	1	0.064258	0.000001	239	369	145	1	0.163494	0.334649	0.136802	0.002818	0.000931
63	1	0.055408	1.920914	309	428	219	1	0.125233	0.220287	0.114704	0.003148	0.000911
64	1	0.023031	0.000001	323	441	250	1	0.100610	0.247880	0.120617	0.005558	0.001024
65	1	0.035822	1.461257	188	361	140	1	0.100011	0.233442	0.114640	0.005716	0.000918
66	1	0.028171	1.624617	361	421	307	1	0.107720	0.211180	0.108670	0.003081	0.000982
67	1	0.041872	1.761475	405	469	373	1	0.125041	0.286765	0.134830	0.004110	0.001079
68	1	0.050597	1.703413	493	541	478	1	0.121565	0.247177	0.119416	0.004569	0.001132
69	1	0.056457	1.546616	442	502	432	1	0.128662	0.239290	0.114607	0.004260	0.000924
70	1	0.056939	1.508179	364	431	354	1	0.093822	0.229634	0.110832	0.004114	0.001085
71	1	0.014932	1.074472	292	379	274	1	0.088145	0.225065	0.108677	0.002797	0.001595
72	1	0.016821	0.759503	546	592	501	1	0.118856	0.293166	0.133875	0.004998	0.001280
73	1	0.041645	1.112763	303	386	261	1	0.134703	0.265346	0.121737	0.002821	0.000969
74	1	0.039466	1.739113	199	356	138	1	0.107681	0.252448	0.121034	0.002685	0.000808
75	1	0.037905	0.606518	371	486	328	1	0.133159	0.286345	0.128752	0.003596	0.001190
76	1	0.020639	0.473126	572	618	537	1	0.126506	0.266762	0.127078	0.005057	0.001325
77	1	0.012109	0.000001	618	665	566	1	0.126457	0.265261	0.126096	0.006436	0.001466
78	1	0.017919	0.000001	459	531	408	1	0.112793	0.256285	0.122772	0.004246	0.001245
79	1	0.038269	1.408894	286	387	226	1	0.108323	0.256396	0.118937	0.004293	0.000824
80	1	0.070412	3.054924	256	371	171	1	0.100270	0.240472	0.114412	0.002707	0.001006
81	1	0.055713	2.480334	256	359	221	1	0.102934	0.240559	0.115108	0.002893	0.000924
82	1	0.018806	1.325594	337	472	301	1	0.156922	0.318556	0.139887	0.004673	0.000998
83	1	0.030140	0.919410	365	447	332	1	0.132400	0.336141	0.149411	0.004455	0.001064
84	1	0.058132	1.197139	207	372	166	1	0.172503	0.325087	0.144015	0.002814	0.000929
85	1	0.023465	0.000001	154	322	115	1	0.117098	0.268780	0.127310	0.004041	0.000786
86	1	0.028181	1.371164	274	402	161	1	0.136873	0.324131	0.140899	0.004039	0.000966
87	1	0.079353	2.960286	180	402	79	1	0.140707	0.340065	0.139710	0.002959	0.001041
88	1	0.047932	2.679273	227	371	171	1	0.159877	0.365721	0.147358	0.002953	0.000852
89	1	0.039917	2.210100	216	341	147	1	0.148544	0.268274	0.125696	0.004139	0.000919
90	1	0.051174	1.835897	303	440	257	1	0.138248	0.370176	0.154825	0.005836	0.001276
91	1	0.023722	0.627450	157	340	122	1	0.129923	0.288416	0.133595	0.002498	0.000674
92	1	0.036419	0.703878	445	517	421	1	0.110319	0.271368	0.127222	0.004182	0.001133
93	1	0.027161	0.639190	308	419	226	1	0.115477	0.264165	0.125657	0.003093	0.001030
94	1	0.067047	1.606203	205	387	144	1	0.127891	0.275482	0.125942	0.002845	0.000889
95	1	0.037623	1.154197	440	514	393	1	0.130087	0.278333	0.129939	0.004674	0.001051
96	1	0.008574	0.576073	600	662	535	1	0.122462	0.273094	0.133242	0.005415	0.001389
97	1	0.011662	0.672603	444	522	403	1	0.123251	0.270910	0.130692	0.005288	0.001196
98	1	0.015908	0.935864	229	369	192	1	0.117453	0.270226	0.124950	0.002780	0.000880
99	1	0.035560	1.962839	237	338	185	1	0.097575	0.258471	0.118081	0.002498	0.000870
100	1	0.067031	3.101604	272	398	204	1	0.115168	0.272334	0.125890	0.002951	0.000856
101	1	0.037307	2.651808	262	413	208	1	0.130316	0.291312	0.133582	0.004067	0.001097
102	1	0.011372	0.500460	397	500	341	1	0.136608	0.312908	0.136969	0.004079	0.001140
103	1	0.020571	0.000001	510	558	470	1	0.130851	0.332785	0.147031	0.004452	0.001180
104	1	0.052322	0.000001	301	440	255	1	0.130597	0.310641	0.147288	0.003671	0.000977
105	1	0.046036	2.263129	139	369	96	1	0.137007	0.288796	0.130544	0.002709	0.000774
106	1	0.024373	0.000001	204	325	128	1	0.119798	0.263219	0.125160	0.002353	0.000880
107	1	0.084175	1.903309	253	389	165	1	0.118892	0.325960	0.138842	0.003114	0.000983
108	1	0.041157	1.955647	191	369	138	1	0.127920	0.315597	0.133642	0.002746	0.000878
109	1	0.039582	2.160664	213	352	164	1	0.160050	0.348690	0.145579	0.002619	0.001087
110	1	0.038450	2.035478	201	330	143	1	0.121691	0.277866	0.128116	0.002435	0.000642
111	1	0.036083	1.182668	319	438	254	1	0.148395	0.364012	0.150485	0.003205	0.000934
112	1	0.005695	0.403483	538	575	475	1	0.108025	0.291341	0.136968	0.004815	0.001247
113	1	0.022086	0.993078	309	433	243	1	0.116712	0.273304	0.124403	0.004863	0.000967
114	1	0.025310	1.229715	442	501	390	1	0.137738	0.276707	0.124598	0.004128	0.001121
115	1	0.013808	0.592153	417	500	388	1	0.107729	0.269150	0.124184	0.003809	0.001154
116	1	0.023455	0.954086	372	440	348	1	0.122078	0.306109	0.134687	0.003279	0.001046
117	1	0.044415	0.729542	189	315	151	1	0.134479	0.293597	0.133225	0.004113	0.000714
118	1	0.042651	1.629909	193	296	163	1	0.096344	0.279475	0.126070	0.005468	0.000811
119	1	0.075638	2.712094	312	406	247	1	0.114466	0.263126	0.127129	0.004636	0.001186
120	1	0.058436	2.660946	270	401	219	1	0.124814	0.282843	0.128226	0.004001	0.001035
121	1	0.014252	0.000001	402	491	346	1	0.122734	0.306997	0.131978	0.004782	0.001163
122	1	0.006014	0.000001	583	629	513	1	0.117792	0.313994	0.140543	0.005085	0.001414
123	1	0.025267	1.155213	390	490	330	1	0.136537	0.318115	0.140472	0.004126	0.001134
124	1	0.062549	1.389594	212	398	158	1	0.117724	0.270746	0.124520	0.002915	0.000879
125	1	0.034254	2.199447	158	335	79	1	0.118809	0.261109	0.121757	0.004447	0.000744
126	1	0.029754	1.175698	262	341	216	1	0.139298	0.259343	0.121084	0.002506	0.001009
