# Pose Estimator: RANSAC | Early Exit: ON
# Sample_ID	Success	RTE(m)	RRE(deg)	Num_Inliers	Num_Mutual_Inliers	Num_Inlier_Ind	Scales_Used	Data_time(s)	Model_time(s)	Desc_time(s)	Pose_time(s)	PoseEst_time(s)
0	1	0.125873	0.813052	31	410	243	1	0.041114	0.160435	0.121837	0.003450	0.031699
1	1	0.130033	0.261577	55	460	327	1	0.038004	0.150046	0.119570	0.003465	0.033734
2	1	0.084092	0.055192	61	443	298	1	0.031091	0.144260	0.117116	0.003398	0.031333
3	1	0.218173	0.155869	50	476	319	1	0.032557	0.139361	0.112728	0.003504	0.028312
4	1	0.077989	0.141811	45	461	280	1	0.029376	0.141117	0.116046	0.003741	0.031819
5	1	0.151046	0.666196	59	472	335	1	0.030318	0.145724	0.118941	0.003854	0.034607
6	1	0.210766	0.188787	102	520	365	1	0.031358	0.150510	0.122062	0.004179	0.036278
7	1	0.046915	0.240097	69	506	359	1	0.031149	0.148953	0.119175	0.004066	0.031322
8	1	0.036380	0.200555	73	464	324	1	0.033551	0.150453	0.120539	0.003531	0.032672
9	1	0.197913	0.369471	86	469	350	1	0.037730	0.153601	0.124034	0.003452	0.036023
10	1	0.092958	0.176165	82	466	323	1	0.033548	0.147168	0.118308	0.003806	0.031101
11	1	0.222805	0.098155	79	471	317	1	0.036070	0.150272	0.120413	0.003780	0.032620
12	1	0.054252	0.125762	92	456	338	1	0.038191	0.151966	0.122760	0.003622	0.035497
13	1	0.159527	0.166039	76	433	303	1	0.030758	0.144707	0.117254	0.003158	0.032661
14	1	0.102410	0.394279	96	430	295	1	0.030413	0.145893	0.117486	0.003144	0.031966
15	1	0.173738	0.698798	61	390	270	1	0.033025	0.146641	0.117992	0.002918	0.032328
16	1	0.199306	0.617061	66	416	294	1	0.030497	0.147753	0.119337	0.003042	0.033204
17	1	0.175912	0.493890	57	448	306	1	0.030630	0.147785	0.120065	0.003622	0.033736
18	1	0.056172	0.547528	82	490	353	1	0.030869	0.144450	0.116858	0.003644	0.031512
19	1	0.171250	0.732086	69	377	264	1	0.034389	0.147348	0.117968	0.003079	0.031941
20	1	0.173954	0.485688	77	409	306	1	0.029206	0.144863	0.117199	0.003382	0.032243
21	1	0.153367	0.520149	69	389	258	1	0.030853	0.146040	0.118560	0.002889	0.033513
22	1	0.140864	0.204755	52	345	245	1	0.029922	0.143975	0.116667	0.002583	0.032546
23	1	0.189159	0.163236	57	444	283	1	0.029045	0.145142	0.118713	0.003264	0.034245
24	1	0.073264	0.332846	52	452	301	1	0.029320	0.145278	0.118079	0.003312	0.033522
25	1	0.298190	0.370597	70	454	308	1	0.033676	0.146038	0.118656	0.003688	0.032598
26	1	0.279505	0.117047	71	473	316	1	0.031115	0.140228	0.113303	0.003600	0.028773
27	1	0.100677	0.322242	68	444	317	1	0.033363	0.145919	0.117957	0.003270	0.032829
28	1	0.103267	0.067478	78	416	266	1	0.030323	0.144751	0.115954	0.003045	0.029711
29	1	0.059224	0.303279	107	480	364	1	0.031184	0.151740	0.122739	0.003628	0.035582
30	1	0.095889	0.187077	98	492	351	1	0.032471	0.155554	0.126202	0.003741	0.038833
31	1	0.203572	0.112003	74	446	301	1	0.031459	0.149745	0.120828	0.003378	0.034190
