# Pose Estimator: KISS_MATCHER | Early Exit: ON
# Sample_ID	Success	RTE(m)	RRE(deg)	Num_Inliers	Num_Mutual_Inliers	Num_Inlier_Ind	Scales_Used	Data_time(s)	Model_time(s)	Desc_time(s)	Pose_time(s)	PoseEst_time(s)
0	1	0.038980	0.329016	33	439	264	1	0.061179	0.136363	0.098693	0.003305	0.000305
1	1	0.401711	1.238826	45	458	225	1	0.064744	0.131641	0.095403	0.003381	0.000248
2	1	0.030403	0.580092	25	428	220	1	0.059121	0.126371	0.092660	0.003132	0.000255
3	1	0.365838	1.244557	16	394	220	1	0.056596	0.120000	0.089034	0.002898	0.000255
4	1	0.201072	1.002312	25	394	207	1	0.053712	0.114110	0.086068	0.002894	0.000241
5	1	0.147650	1.014996	40	449	240	1	0.053926	0.109239	0.083855	0.003365	0.000265
6	1	0.454188	2.691822	30	436	260	1	0.049546	0.109703	0.084013	0.003261	0.000272
7	1	0.211871	0.205851	21	420	275	1	0.045229	0.109464	0.083830	0.003075	0.000271
8	1	0.435695	1.497125	45	489	319	1	0.046051	0.110628	0.085074	0.003626	0.000321
9	1	0.099421	0.604659	53	465	309	1	0.047988	0.110677	0.084659	0.003423	0.000345
10	1	0.077887	0.359427	42	448	315	1	0.052561	0.117639	0.088295	0.003281	0.000307
11	1	0.441307	2.189046	10	413	224	1	0.062356	0.129096	0.094105	0.003012	0.000270
12	1	0.102848	0.726732	47	498	339	1	0.069461	0.139935	0.099558	0.003727	0.000329
13	1	0.410489	0.665926	18	454	293	1	0.072053	0.137688	0.098439	0.003360	0.000319
14	1	0.070860	0.572509	44	449	274	1	0.068727	0.143074	0.101389	0.003291	0.000268
15	1	0.191775	0.959970	26	449	280	1	0.069132	0.144082	0.102057	0.003269	0.000295
16	1	0.152917	0.954317	22	450	226	1	0.066029	0.138155	0.098717	0.003294	0.000278
17	1	0.180291	2.665374	24	385	234	1	0.066349	0.140881	0.099707	0.002825	0.000276
18	1	0.110318	0.824459	27	390	248	1	0.064099	0.137744	0.098216	0.002881	0.000285
19	1	0.199212	2.259682	16	388	211	1	0.060810	0.133116	0.095425	0.002842	0.000245
20	1	0.407490	2.241988	22	414	244	1	0.067368	0.130332	0.094546	0.003268	0.000287
21	1	0.101886	0.662986	35	379	206	1	0.063784	0.127637	0.092812	0.002773	0.000254
22	1	0.382745	1.133912	36	414	244	1	0.066970	0.135916	0.097566	0.003019	0.000279
23	1	0.125971	0.712346	42	434	255	1	0.065707	0.129466	0.093997	0.003157	0.000293
24	1	0.367697	0.520906	35	422	249	1	0.061426	0.132514	0.095996	0.003209	0.000281
25	1	0.717238	2.342268	21	327	152	1	0.059280	0.122530	0.089779	0.002460	0.000216
26	1	0.296126	1.047640	32	394	171	1	0.055118	0.113646	0.086098	0.002895	0.000231
27	1	0.093620	0.475363	24	369	170	1	0.059269	0.125715	0.092044	0.002732	0.000217
28	1	0.088775	1.227642	13	759	341	2	0.059313	0.217789	0.184282	0.005575	0.000593
29	1	0.172482	1.176562	14	804	409	2	0.059073	0.220279	0.186234	0.005899	0.000670
30	1	0.281252	1.630613	29	412	180	1	0.056767	0.123575	0.091562	0.003028	0.000243
31	1	0.202078	1.361049	23	416	187	1	0.056973	0.123955	0.091185	0.003145	0.000216
32	1	0.240306	1.129454	58	459	272	1	0.057517	0.128456	0.093379	0.003461	0.000301
33	1	0.118272	0.849639	50	418	305	1	0.058613	0.126602	0.092319	0.003121	0.000326
34	1	0.130908	0.969224	64	486	376	1	0.064381	0.139538	0.099720	0.003582	0.000393
35	1	0.227235	1.139255	31	372	199	1	0.065017	0.136595	0.097449	0.002714	0.000244
36	1	0.308218	1.725369	38	394	220	1	0.060176	0.127945	0.093205	0.002886	0.000263
37	1	0.141255	1.221778	38	400	227	1	0.069703	0.136236	0.097471	0.002928	0.000275
38	1	0.075604	0.683222	27	376	144	1	0.063215	0.132614	0.095478	0.002785	0.000213
39	1	0.225989	3.674153	58	395	213	1	0.057029	0.122331	0.089871	0.002936	0.000275
40	1	0.248344	2.160053	15	310	151	1	0.061264	0.120335	0.088698	0.002180	0.000214
41	1	0.158186	2.043221	27	1059	394	3	0.051921	0.295177	0.264674	0.007919	0.000894
42	1	0.324567	1.540081	39	357	188	1	0.050511	0.117432	0.088123	0.002627	0.000242
43	1	0.211257	1.062207	58	431	292	1	0.052796	0.120887	0.089670	0.003147	0.000344
44	1	0.124331	0.498999	55	413	240	1	0.055190	0.126027	0.092268	0.003305	0.000284
45	1	0.090579	0.679570	39	481	323	1	0.055171	0.127134	0.093536	0.003540	0.000351
46	1	0.602355	1.787934	38	517	243	1	0.055899	0.131799	0.096419	0.004232	0.000250
47	1	0.123603	0.742798	36	454	252	1	0.055718	0.129125	0.093910	0.003401	0.000295
48	1	0.207466	0.501696	51	485	346	1	0.055854	0.126255	0.092562	0.003590	0.000377
49	1	0.076690	1.740347	41	475	282	1	0.061641	0.129011	0.093636	0.003780	0.000271
50	1	0.144541	0.530157	42	460	232	1	0.056506	0.126888	0.092752	0.003467	0.000249
