# Pose Estimator: RANSAC | Early Exit: ON
# Sample_ID	Success	RTE(m)	RRE(deg)	Num_Inliers	Num_Mutual_Inliers	Num_Inlier_Ind	Scales_Used	Data_time(s)	Model_time(s)	Desc_time(s)	Pose_time(s)	PoseEst_time(s)
0	1	0.103513	0.437834	57	447	267	1	0.062436	0.168874	0.130775	0.003263	0.031354
1	1	0.092043	0.841249	64	477	260	1	0.065636	0.164505	0.128072	0.003499	0.032182
2	1	0.127995	2.656134	35	419	226	1	0.072326	0.153126	0.119154	0.003070	0.027486
3	1	0.256933	0.732440	33	399	238	1	0.063364	0.151186	0.119134	0.002946	0.029485
4	1	0.078781	0.611359	52	391	201	1	0.057433	0.142747	0.114002	0.002890	0.028127
5	1	0.185543	0.903339	60	440	254	1	0.053098	0.139781	0.113796	0.003332	0.030020
6	1	0.096956	2.376619	51	430	251	1	0.052029	0.139372	0.113585	0.003221	0.030215
7	1	0.181109	0.572986	49	432	278	1	0.047823	0.143200	0.117387	0.003227	0.034551
8	1	0.314690	1.031153	80	472	296	1	0.054289	0.142405	0.117200	0.003826	0.033385
9	1	0.107536	0.499932	82	459	307	1	0.049156	0.143693	0.116675	0.003376	0.031129
10	1	0.167029	0.503289	61	451	327	1	0.054782	0.147031	0.117640	0.003485	0.029434
11	1	0.296136	2.667395	35	416	226	1	0.064183	0.160312	0.125252	0.003071	0.032471
12	1	0.164445	1.105455	68	487	328	1	0.071494	0.173800	0.133274	0.003581	0.033767
13	1	0.186781	1.483396	38	494	310	1	0.067722	0.173368	0.133418	0.003691	0.034023
14	1	0.047554	0.525783	49	456	286	1	0.069893	0.173347	0.131161	0.003351	0.030204
15	1	0.279009	0.954277	46	444	282	1	0.075761	0.175543	0.133129	0.003542	0.031656
16	1	0.079593	1.705112	45	446	232	1	0.066743	0.174299	0.133397	0.003255	0.033713
17	1	0.067250	0.459687	53	384	236	1	0.064989	0.171880	0.131276	0.002835	0.031268
18	1	0.132974	0.589455	45	393	251	1	0.064202	0.169292	0.130030	0.002983	0.033221
19	1	0.262558	2.521071	41	371	226	1	0.063467	0.166172	0.128307	0.002713	0.032678
20	1	0.301631	0.631224	53	416	256	1	0.062524	0.164413	0.128200	0.003031	0.033564
21	1	0.170455	0.668721	56	400	226	1	0.062748	0.156155	0.121332	0.003234	0.028139
22	1	0.396964	1.198778	44	375	220	1	0.066455	0.167300	0.128678	0.002729	0.031566
23	1	0.079636	0.806619	59	438	253	1	0.061578	0.162181	0.126718	0.003606	0.032361
24	1	0.260020	0.792225	52	430	255	1	0.062482	0.163335	0.126146	0.003512	0.030609
25	1	0.070041	1.057984	37	368	159	1	0.059999	0.153334	0.120833	0.003014	0.030489
26	1	0.148382	0.609002	52	378	167	1	0.055738	0.147914	0.119802	0.003094	0.033448
