# Pose Estimator: RANSAC | Early Exit: ON
# Sample_ID	Success	RTE(m)	RRE(deg)	Num_Inliers	Num_Mutual_Inliers	Num_Inlier_Ind	Scales_Used	Data_time(s)	Model_time(s)	Desc_time(s)	Pose_time(s)	PoseEst_time(s)
0	1	0.097328	3.099300	292	455	200	1	0.244130	0.495758	0.193235	0.003654	0.001108
1	0	3.201213	179.568008	63	230	14	1	0.225812	0.388265	0.162625	0.001747	0.000527
2	1	0.101626	3.372057	99	260	63	1	0.190172	0.304552	0.133926	0.001902	0.000813
3	0	3.164944	178.412909	53	247	23	2	0.179458	0.432357	0.266216	0.005255	0.002191
4	1	0.058706	1.312326	89	318	28	2	0.178879	0.433239	0.265407	0.002404	0.001751
5	1	0.038668	1.333278	462	527	383	1	0.298858	0.939541	0.271312	0.004572	0.001214
6	1	0.030512	2.136389	294	431	208	1	0.187287	0.333645	0.142425	0.003162	0.001120
7	1	0.085550	2.375748	175	321	123	1	0.182501	0.311494	0.130628	0.002333	0.000769
8	1	0.242445	4.835080	85	209	61	1	0.184196	0.353243	0.148784	0.001539	0.001514
9	1	0.184552	6.963245	148	246	110	1	0.176008	0.319327	0.138682	0.001810	0.000933
10	1	0.082620	2.396360	258	367	196	1	0.183243	0.310682	0.133427	0.002690	0.000958
11	1	0.079493	0.634032	218	384	165	1	0.253543	0.377456	0.163345	0.002894	0.001231
12	1	0.063362	1.423452	198	367	135	1	0.212007	0.345832	0.146805	0.002687	0.001173
13	1	0.087897	1.179975	201	394	141	1	0.246736	0.372121	0.155121	0.002959	0.001509
14	1	0.075514	3.448088	247	408	161	1	0.254051	0.375806	0.157159	0.002996	0.001154
15	1	0.031378	1.452206	216	360	136	1	0.231895	0.334925	0.143401	0.002772	0.001115
16	1	0.021222	1.490964	199	370	93	1	0.192350	0.310177	0.138150	0.002725	0.000932
17	1	0.081690	4.850761	171	356	66	1	0.171697	0.315424	0.138543	0.002712	0.000816
18	1	0.133148	4.541107	162	333	137	1	0.212534	0.372290	0.158617	0.002548	0.001046
19	1	0.037549	1.974337	151	367	74	1	0.254784	0.397466	0.169277	0.002712	0.001145
20	1	0.055062	1.765932	172	297	120	1	0.336876	0.437701	0.164897	0.002193	0.000879
21	1	0.214361	3.263321	143	306	122	1	0.270462	0.418770	0.168177	0.002311	0.001827
