# Pose Estimator: KISS_MATCHER | Early Exit: ON
# Sample_ID	Success	RTE(m)	RRE(deg)	Num_Inliers	Num_Mutual_Inliers	Num_Inlier_Ind	Scales_Used	Data_time(s)	Model_time(s)	Desc_time(s)	Pose_time(s)	PoseEst_time(s)
0	1	0.032799	1.035646	266	475	342	1	0.052174	0.114278	0.084801	0.003889	0.000321
1	1	0.168157	3.047134	206	436	313	1	0.051453	0.109302	0.082643	0.003200	0.000339
2	1	0.165027	2.651839	169	409	268	1	0.047732	0.104109	0.079543	0.003389	0.000285
3	1	0.057528	2.489033	124	471	260	1	0.047681	0.105344	0.080426	0.003462	0.000302
4	1	0.060794	4.483982	152	427	302	1	0.049503	0.113049	0.084031	0.003159	0.000299
5	1	0.049032	0.792282	160	424	306	1	0.049679	0.105708	0.081080	0.003177	0.000330
6	1	0.086101	1.740056	263	457	365	1	0.049217	0.105959	0.080640	0.003664	0.000348
7	1	0.253329	4.649375	132	412	255	1	0.047432	0.101792	0.078713	0.003060	0.000278
8	1	0.098956	1.763374	159	416	260	1	0.049978	0.105009	0.080160	0.003064	0.000283
9	1	0.046871	1.892401	115	356	187	1	0.043751	0.100146	0.077549	0.002619	0.000257
10	1	0.029190	0.342791	468	698	604	1	0.220418	0.352781	0.186782	0.006437	0.000466
11	1	0.016898	0.246803	355	593	475	1	0.211849	0.339257	0.185102	0.004881	0.000448
12	1	0.018849	0.412161	355	629	504	1	0.204295	0.331746	0.181447	0.005091	0.000407
13	1	0.013356	0.242128	311	663	407	1	0.211185	0.330253	0.179712	0.005747	0.000365
14	1	0.095663	0.975575	297	540	430	1	0.228831	0.328052	0.180903	0.004559	0.000382
15	1	0.053146	0.543227	402	634	550	1	0.218331	0.349013	0.184864	0.005071	0.000439
16	1	0.011401	0.361337	403	653	567	1	0.170620	0.213440	0.127002	0.005292	0.000453
17	1	0.006646	0.590668	360	613	528	1	0.227870	0.312391	0.171652	0.005199	0.000430
18	1	0.012181	0.279796	324	579	468	1	0.202348	0.325484	0.175159	0.004673	0.000404
19	1	0.070117	0.803498	289	503	392	1	0.108469	0.217082	0.128267	0.004016	0.000365
20	1	0.093986	1.097454	208	426	332	1	0.112539	0.208195	0.125554	0.003204	0.000341
