# Pose Estimator: RANSAC | Early Exit: ON
# Sample_ID	Success	RTE(m)	RRE(deg)	Num_Inliers	Num_Mutual_Inliers	Num_Inlier_Ind	Scales_Used	Data_time(s)	Model_time(s)	Desc_time(s)	Pose_time(s)	PoseEst_time(s)
0	1	0.123862	1.599775	356	470	338	1	0.045122	0.272617	0.243244	0.003452	0.159209
1	1	0.203537	3.820357	292	436	327	1	0.046147	0.243717	0.217511	0.003516	0.135660
2	1	0.164028	2.986866	261	423	262	1	0.042463	0.236692	0.211701	0.003093	0.130844
3	1	0.045012	0.949534	256	462	224	1	0.040422	0.198103	0.174226	0.003682	0.094495
4	1	0.151504	2.966859	266	423	309	1	0.042288	0.235352	0.206450	0.003412	0.122917
5	1	0.099489	0.661016	266	412	321	1	0.043114	0.222687	0.197953	0.003015	0.117348
6	1	0.126489	2.047315	313	445	350	1	0.044042	0.264325	0.239928	0.003284	0.159517
7	0	0.238968	5.076069	233	394	243	1	0.043023	0.197500	0.173981	0.002871	0.095478
8	1	0.075864	0.948122	273	409	275	1	0.042629	0.236712	0.213255	0.003078	0.132141
9	1	0.011165	1.153600	186	362	196	1	0.038933	0.190550	0.168496	0.002655	0.090261
10	1	0.048245	0.697987	539	683	560	1	0.209005	0.601398	0.434801	0.006208	0.249913
11	1	0.109425	0.821368	447	604	487	1	0.194073	0.567006	0.414734	0.005064	0.231153
12	1	0.050848	0.873113	452	629	513	1	0.200821	0.537022	0.381036	0.005065	0.200723
13	1	0.038736	0.575641	437	653	418	1	0.198634	0.561251	0.414458	0.005577	0.236946
14	1	0.121906	1.606780	397	556	450	1	0.188993	0.508287	0.347523	0.004426	0.167326
15	1	0.043493	0.486027	520	645	560	1	0.197765	0.608598	0.449234	0.005587	0.264280
16	1	0.026080	0.535844	526	677	573	1	0.156453	0.477941	0.390559	0.006212	0.262571
17	1	0.029526	0.433537	445	600	508	1	0.186875	0.524360	0.379616	0.004799	0.208669
18	1	0.088798	0.425974	414	600	477	1	0.191269	0.520821	0.371263	0.005086	0.196681
19	1	0.108865	1.442981	357	503	365	1	0.101671	0.377666	0.290279	0.003985	0.161936
20	1	0.071323	1.250529	288	421	336	1	0.109832	0.319586	0.235067	0.003087	0.109341
21	1	0.060564	2.101020	219	400	239	1	0.103095	0.276590	0.193531	0.002940	0.070273
22	1	0.348343	3.498982	306	474	320	1	0.101224	0.348453	0.265402	0.003510	0.141927
23	1	0.053986	0.713907	293	483	271	1	0.092006	0.323337	0.245349	0.003552	0.127735
24	1	0.178485	3.490636	185	379	180	1	0.098357	0.313109	0.220885	0.002858	0.094385
25	1	0.170573	1.823780	245	429	239	1	0.092175	0.302854	0.216274	0.003161	0.094424
26	1	0.065582	0.322601	280	451	333	1	0.098910	0.345551	0.259917	0.003300	0.134694
27	1	0.056246	1.199288	284	439	325	1	0.102701	0.356493	0.269456	0.003204	0.143409
28	1	0.056144	1.149874	244	409	253	1	0.097129	0.298214	0.216178	0.003301	0.094918
29	1	0.136203	1.398329	261	434	271	1	0.098760	0.318727	0.242373	0.003256	0.125451
30	1	0.043916	0.812684	335	518	350	1	0.105058	0.382140	0.304974	0.004210	0.184803
31	1	0.051711	1.972752	257	413	251	1	0.037708	0.193662	0.170530	0.003101	0.093003
32	1	0.104319	1.318112	244	402	196	1	0.055336	0.217717	0.179422	0.002960	0.088355
33	1	0.060607	1.820862	330	487	246	1	0.045592	0.217237	0.189657	0.004510	0.105134
34	1	0.101058	1.152385	242	402	193	1	0.048569	0.214463	0.182854	0.003244	0.098181
35	1	0.152978	3.870304	167	356	167	1	0.056529	0.215634	0.163176	0.002734	0.064781
36	1	0.073714	0.893374	249	396	233	1	0.054818	0.216045	0.176630	0.002897	0.085412
37	1	0.056591	1.558796	177	340	172	1	0.041745	0.173601	0.150291	0.002597	0.071930
38	1	0.048764	1.098481	184	370	181	1	0.037354	0.163458	0.144292	0.002713	0.068676
39	1	0.049363	0.725354	318	498	335	1	0.165328	0.398405	0.248871	0.003864	0.086968
40	1	0.042234	0.215148	327	479	291	1	0.160744	0.419246	0.271411	0.003520	0.109722
41	1	0.041561	0.624195	324	488	293	1	0.166022	0.465063	0.312274	0.003634	0.152058
42	1	0.016647	0.848734	359	511	280	1	0.181487	0.461978	0.295076	0.004115	0.123566
43	1	0.085504	1.380834	226	399	214	1	0.174843	0.407094	0.258288	0.003019	0.092256
44	1	0.072855	0.972850	302	484	343	1	0.176669	0.438400	0.283356	0.003648	0.111320
45	1	0.124902	1.144878	269	477	233	1	0.175967	0.425961	0.270674	0.003627	0.102322
46	1	0.023779	0.768060	281	457	201	1	0.170625	0.446424	0.298877	0.003352	0.137431
47	1	0.076845	2.251961	104	287	106	1	0.097089	0.272044	0.164855	0.002067	0.044838
48	1	0.070780	0.440356	332	495	349	1	0.094629	0.343932	0.253423	0.004001	0.127182
49	1	0.067109	0.610204	320	517	272	1	0.111080	0.367347	0.271763	0.004161	0.134213
50	1	0.082840	0.413947	328	517	229	1	0.104512	0.363821	0.263076	0.004216	0.128388
51	1	0.046782	0.854911	356	536	266	1	0.098790	0.368453	0.270336	0.004299	0.137131
52	1	0.146920	1.764254	95	274	74	1	0.079079	0.223834	0.143834	0.002007	0.029852
53	1	0.098336	1.644974	61	221	52	1	0.076311	0.218237	0.139700	0.001654	0.029041
54	1	0.070417	0.683374	324	496	340	1	0.110036	0.358340	0.257176	0.003800	0.121600
55	1	0.090311	1.027983	287	465	271	1	0.096497	0.361144	0.269889	0.003431	0.143953
56	1	0.051109	1.590608	192	367	184	1	0.094569	0.303224	0.203963	0.002669	0.075902
57	1	0.284814	2.690436	118	301	114	1	0.081409	0.243628	0.155396	0.002138	0.037717
58	1	0.161611	2.508643	100	264	142	1	0.041513	0.109058	0.097708	0.001932	0.029804
59	1	0.051184	0.407245	171	349	199	1	0.072233	0.208776	0.142326	0.002831	0.035518
60	1	0.038619	1.272635	191	387	214	1	0.081921	0.210208	0.140245	0.003101	0.034451
61	1	0.164894	3.698429	318	458	295	1	0.057062	0.223426	0.163268	0.003382	0.065906
62	1	0.184602	1.596433	230	385	244	1	0.060637	0.184245	0.149705	0.002907	0.066085
63	1	0.106025	0.222522	167	322	220	1	0.050534	0.130311	0.108572	0.002601	0.033856
64	1	0.074170	1.296841	259	406	188	1	0.048560	0.173779	0.126741	0.002978	0.033511
65	1	0.075454	2.647023	221	387	239	1	0.057582	0.194479	0.129533	0.002839	0.032030
66	0	0.657667	10.264584	107	248	92	1	0.063594	0.190840	0.128131	0.001803	0.034361
67	0	2.446984	7.741903	99	194	63	1	0.035913	0.166162	0.116487	0.001437	0.033205
68	0	2.190122	12.158033	126	213	51	1	0.033693	0.158805	0.114486	0.001680	0.034142
69	0	0.898475	120.800506	78	162	40	1	0.057326	0.172078	0.128031	0.001190	0.044304
70	1	1.707605	0.773197	217	381	259	1	0.044519	0.112975	0.100903	0.002790	0.029429
71	1	0.036565	0.854427	320	463	266	1	0.069521	0.245322	0.170816	0.003492	0.066751
72	1	0.068358	0.715391	262	429	267	1	0.077829	0.197662	0.180094	0.003136	0.106408
73	1	0.118584	0.765599	177	360	127	1	0.114603	0.271283	0.169862	0.002632	0.043681
74	1	0.047578	1.442573	173	352	180	1	0.078289	0.142302	0.129733	0.002728	0.058305
75	1	0.068531	1.205689	278	454	314	1	0.106825	0.302445	0.203796	0.003376	0.077542
76	1	1.867211	0.708335	246	433	313	1	0.053192	0.138657	0.114840	0.003243	0.036755
77	1	1.862052	1.647958	329	481	335	1	0.040049	0.142242	0.129148	0.003535	0.057213
78	1	1.947651	1.038541	438	593	338	1	0.056263	0.209759	0.162440	0.004766	0.066416
79	1	1.794258	0.583814	323	488	261	1	0.042585	0.122707	0.107642	0.003611	0.035422
80	1	1.885480	0.944350	351	504	261	1	0.042929	0.134036	0.114500	0.003991	0.038668
81	1	1.937132	1.069226	361	492	256	1	0.039909	0.128672	0.116771	0.003680	0.046932
82	1	1.736369	0.374873	323	494	290	1	0.057861	0.218989	0.143814	0.003972	0.038840
83	1	0.050189	0.499676	243	421	159	1	0.050728	0.222691	0.169178	0.003091	0.077283
84	1	1.576963	2.130900	74	218	59	1	0.040995	0.105531	0.097654	0.001622	0.033674
85	0	0.768122	10.356261	109	241	99	1	0.039531	0.156493	0.140260	0.001800	0.070462
86	0	0.404769	11.206370	138	219	101	1	0.034380	0.130967	0.123494	0.001634	0.060844
87	0	1.377020	100.007002	72	210	55	1	0.037851	0.107849	0.098955	0.001567	0.035008
88	1	1.818922	1.874172	279	436	280	1	0.041492	0.126442	0.108071	0.003254	0.032012
89	1	1.999252	0.627544	367	504	296	1	0.040923	0.167309	0.151178	0.003952	0.078826
90	1	1.830810	1.352550	372	486	255	1	0.038770	0.120749	0.110459	0.003604	0.039774
91	1	1.960619	0.640955	335	485	269	1	0.040746	0.115601	0.105607	0.003619	0.034778
92	0	2.060473	0.216767	295	460	295	1	0.044519	0.120053	0.104616	0.003383	0.032274
93	1	0.080335	1.896179	271	457	273	1	0.037926	0.135082	0.125614	0.003386	0.058135
94	1	0.184175	1.615209	224	393	214	1	0.038275	0.131683	0.121485	0.002871	0.054420
95	1	0.166367	0.581787	257	425	304	1	0.057378	0.176860	0.130940	0.003113	0.042016
96	1	0.213692	2.029922	153	316	143	1	0.104023	0.218658	0.160632	0.002252	0.067880
97	1	0.158824	4.728433	169	310	142	1	0.111810	0.223880	0.157205	0.002197	0.059969
98	1	0.195187	4.682546	254	379	222	1	0.080533	0.154377	0.131278	0.003058	0.057010
99	0	1.912739	8.091892	78	233	34	1	0.089972	0.241183	0.151410	0.001716	0.039701
100	0	2.172307	0.814915	149	351	163	1	0.075111	0.188562	0.130053	0.002573	0.029919
101	1	0.079346	0.341551	280	468	285	1	0.046973	0.156556	0.130982	0.003440	0.051100
102	0	2.065853	0.781003	253	431	246	1	0.039139	0.118379	0.104406	0.003177	0.033268
